GENUS,SPECIES,COLLECTION,CONTRACT,PRIORITY,STZ,STZ_NUMBER
Centromadia,pungens,OPERATIONAL,COSUMNES,HIGH,,any
Cephalanthus,occidentalis,OPERATIONAL,COSUMNES,HIGH,,any
Claytonia,perfoliata,OPERATIONAL,COSUMNES,HIGH,,any
Clematis,ligusticifolia,OPERATIONAL,COSUMNES,HIGH,,any
Croton,setiger,OPERATIONAL,COSUMNES,LOW,,any
Epilobium,brachycarpum,OPERATIONAL,COSUMNES,HIGH,,any
Epilobium,ciliatum,OPERATIONAL,COSUMNES,HIGH,,any
Epilobium,densiflorum,OPERATIONAL,COSUMNES,HIGH,,any
Erigeron,canadenis,OPERATIONAL,COSUMNES,HIGH,,any
Eryngium,aristulatum,OPERATIONAL,COSUMNES,LOW,,any
Erythranthe,guttata,OPERATIONAL,COSUMNES,HIGH,,any
Euthamia,occidentalis,OPERATIONAL,COSUMNES,LOW,,any
Galium,aparine,OPERATIONAL,COSUMNES,LOW,,any
Glycyrrhiza,lepidota,OPERATIONAL,COSUMNES,HIGH,,any
Grindelia,camporum,OPERATIONAL,COSUMNES,HIGH,,any
Helenium,puberulum,OPERATIONAL,COSUMNES,HIGH,,any
Helianthus,annuus,OPERATIONAL,COSUMNES,HIGH,,any
Hemizonia,congesta,OPERATIONAL,COSUMNES,HIGH,,any
Heterotheca,grandiflora,OPERATIONAL,COSUMNES,HIGH,,any
Madia,elegans,OPERATIONAL,COSUMNES,HIGH,,any
Malvella,leprosa,OPERATIONAL,COSUMNES,HIGH,,any
Mentha,canadensis,OPERATIONAL,COSUMNES,LOW,,any
Persicaria,amphibia,OPERATIONAL,COSUMNES,HIGH,,any
Persicaria,lapathifolia,OPERATIONAL,COSUMNES,LOW,,any
Phyla,nodiflora,OPERATIONAL,COSUMNES,LOW,,any
Ranunculus,californicus,OPERATIONAL,COSUMNES,HIGH,,any
Rosa,californica,OPERATIONAL,COSUMNES,LOW,,any
Rubus,ursinus,OPERATIONAL,COSUMNES,LOW,,any
Rumex,salicifolius,OPERATIONAL,COSUMNES,HIGH,,any
Sagittaria,latifolia,OPERATIONAL,COSUMNES,HIGH,,any
Sisyrinchium,bellum,OPERATIONAL,COSUMNES,HIGH,,any
Solanum,americanum,OPERATIONAL,COSUMNES,LOW,,any
Symphyotrichum,subulatum,OPERATIONAL,COSUMNES,LOW,,any
Triteleia,hyacinthina,OPERATIONAL,COSUMNES,HIGH,,any
Triteleia,laxa,OPERATIONAL,COSUMNES,HIGH,,any
Wyethia angustifolia,,OPERATIONAL,COSUMNES,LOW,,any
