genus,species,infrarank,infraspecies,stz,ind_stz,contract,priority,priority_source
Eriophyllum,lanatum,,,Provisional,any,BISHOP,Medium,Reed
Ionactis,alpina,,,Provisional,any,BISHOP,Mediun,Reed
Lomatium,dissectum,,,Provisional,any,BISHOP,High,Reed
Lomatium,nevadense,var.,nevadense,Provisional,any,BISHOP,High,Reed
Lupinus,argenteus,,,Provisional,any,BISHOP,Mediun,Reed
Packera,multilobata,,,Provisional,any,BISHOP,High,Reed
Penstemon,speciosus,,,Provisional,any,BISHOP,High,Reed
Phacelia,heterophylla,,,Provisional,any,BISHOP,Low,Reed
Pleiacanthus,spinosus,,,Provisional,any,BISHOP,Medium,Reed
Senecio,integerrimus,,,Provisional,any,BISHOP,High,Reed
Stenotus,acaulis,,,Provisional,any,BISHOP,Medium,Reed
Anisocoma,acaulis,,,Provisional,any,BISHOP,Medium,Reed
Calycoseris,parryi,,,Provisional,any,BISHOP,Low,Reed
Chaenactis,fremontii,,,Provisional,any,BISHOP,Medium,Reed
Chaenactis,douglasii,,,Provisional,any,BISHOP,High,Reed
Chaenactis,stevioides,,,Provisional,any,BISHOP,Medium,Reed
Chaenactis,xantiana,,,Provisional,any,BISHOP,Medium,Reed
Eriophyllum,wallacei,,,Provisional,any,BISHOP,Medium,Reed
Layia,glandulosa,,,Provisional,any,BISHOP,Medium,Reed
Malacothrix,glabrata,,,Provisional,any,BISHOP,Medium,Reed
Phlox,stansburyi,,,Provisional,any,BISHOP,Medium,Reed
Syntrichopappus,fremontii,,,Provisional,any,BISHOP,Medium,Reed
Amsinckia,tessellata,,,Provisional,any,BISHOP,Medium,Reed
Cryptantha,micrantha,,,Provisional,any,BISHOP,Low,Reed
Cryptantha,pterocarya,,,Provisional,any,BISHOP,Low,Reed
Lupinus,odoratus,,,Provisional,any,BISHOP,Low,Reed
Phacelia,bicolor,var.,bicolor,Provisional,any,BISHOP,Low,Reed
Phacelia,distans,,,Provisional,any,BISHOP,Medium,Reed
Phacelia,fremontii,,,Provisional,any,BISHOP,Medium,Reed
Phacelia,humilis,,,Provisional,any,BISHOP,Medium,Reed
Erigeron,divergens,,,Provisional,any,BISHOP,Low,Reed
Penstemon,incertus,,,Provisional,any,BISHOP,Medium,Reed
Stanleya,pinnata,var.,pinnata,Provisional,any,BISHOP,High,Reed
Fraxinus,velutina,,,Provisional,any,BISHOP,Low,Reed
Achillea,millefolium,,,Provisional,any,COSUMNES,High,BLM
Acmispon,americanus,,,Provisional,any,COSUMNES,High,BLM
Alisma,triviale,,,Provisional,any,COSUMNES,Low,BLM
Ambrosia,psilostachya,,,Provisional,any,COSUMNES,High,BLM
Amsinckia,menziesii,,,Provisional,any,COSUMNES,High,BLM
Aristolochia,californica,,,Provisional,any,COSUMNES,Medium,BLM
Artemisia,douglasiana,,,Provisional,any,COSUMNES,High,BLM
Asclepias,fascicularis,,,Provisional,any,COSUMNES,High,BLM
Baccharis,pilularis,,,Provisional,any,COSUMNES,Low,BLM
Bidens,frondosa,,,Provisional,any,COSUMNES,Low,BLM
Brodiaeae,elegans,,,Provisional,any,COSUMNES,High,BLM
Calandrinia,menziesii,,,Provisional,any,COSUMNES,Low,BLM
Centromadia,fitchii,,,Provisional,any,COSUMNES,High,BLM
Centromadia,pungens,,,Provisional,any,COSUMNES,High,BLM
Cephalanthus,occidentalis,,,Provisional,any,COSUMNES,High,BLM
Claytonia,perfoliata,,,Provisional,any,COSUMNES,High,BLM
Clematis,ligusticifolia,,,Provisional,any,COSUMNES,High,BLM
Croton,setiger,,,Provisional,any,COSUMNES,Low,BLM
Epilobium,brachycarpum,,,Provisional,any,COSUMNES,High,BLM
Epilobium,ciliatum,,,Provisional,any,COSUMNES,High,BLM
Epilobium,densiflorum,,,Provisional,any,COSUMNES,High,BLM
Erigeron,canadensis,,,Provisional,any,COSUMNES,High,BLM
Eryngium,aristulatum,,,Provisional,any,COSUMNES,Low,BLM
Erythranthe,guttata,,,Provisional,any,COSUMNES,High,BLM
Euthamia,occidentalis,,,Provisional,any,COSUMNES,Low,BLM
Galium,aparine,,,Provisional,any,COSUMNES,Low,BLM
Glycyrrhiza,lepidota,,,Provisional,any,COSUMNES,Low,BLM
Grindelia,camporum,,,Provisional,any,COSUMNES,High,BLM
Helenium,puberulum,,,Provisional,any,COSUMNES,High,BLM
Helianthus,annuus,,,Provisional,any,COSUMNES,High,BLM
Hemizonia,congesta,,,Provisional,any,COSUMNES,High,BLM
Heterotheca,grandiflora,,,Provisional,any,COSUMNES,High,BLM
Madia,elegans,,,Provisional,any,COSUMNES,High,BLM
Malvella,leprosa,,,Provisional,any,COSUMNES,High,BLM
Mentha,canadensis,,,Provisional,any,COSUMNES,Low,BLM
Persicaria,amphibia,,,Provisional,any,COSUMNES,High,BLM
Persicaria,lapathifolia,,,Provisional,any,COSUMNES,Low,BLM
Phyla,nodiflora,,,Provisional,any,COSUMNES,Low,BLM
Ranunculus,californicus,,,Provisional,any,COSUMNES,High,BLM
Rosa,californica,,,Provisional,any,COSUMNES,Low,BLM
Rubus,ursinus,,,Provisional,any,COSUMNES,Low,BLM
Rumex,salicifolius,,,Provisional,any,COSUMNES,High,BLM
Sagittaria,latifolia,,,Provisional,any,COSUMNES,High,BLM
Sisyrinchium,bellum,,,Provisional,any,COSUMNES,High,BLM
Solanum,americanum,,,Provisional,any,COSUMNES,Low,BLM
Symphyotrichum,subulatum,,,Provisional,any,COSUMNES,Low,BLM
Triteleia,hyacinthina,,,Provisional,any,COSUMNES,High,BLM
Triteleia,laxa,,,Provisional,any,COSUMNES,High,BLM
Wyethia,angustifolia,,,Provisional,any,COSUMNES,Low,BLM
Adenostoma,fasiculatum,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Adenostoma,sparsifolium,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Ambrosia,dumosa,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Low,BLM
Amsinckia,menziesii,var.,intermedia,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Antirrhinum coulterianum,,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Arctostaphylos,glauca,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Artemisia,tridentata,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Low,BLM
Asclepias,albicans,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Asclepias,erosa,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Asclepias,fascicularis,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Asclepias,subulata,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Bebbia,juncea,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Calliandra,eriophylla,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Camissonia,strigulosa,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Low,BLM
Ceanothus,Spp.***,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Chaenactis,artemisifolia,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Chaenactis,glabriuscula,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Collinsia,concolor,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Low,BLM
Condalia,globosa,var.,pubescens,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Cordylanthus,rigidus,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Low,BLM
Croton,californicus,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Cryptantha,intermedia,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Cryptantha,micrantha,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Cylindropuntia,ramosissima,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Low,BLM
Cylindropuntia,acanthocarpa,var.,acanthocarpa,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Low,BLM
Cylindropuntia,bigelovii,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Low,BLM
Dalea,mollis,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Dichelostemma,capitatum,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Low,BLM
Ephedra,californica,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Ericamerica,brachylepsis,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,High,BLM
Ericameria,linearifolia,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,High,BLM
Eriogonum,fasciculatum,var.,polifolium,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,High,BLM
Eriophyllum,confertiflorum,var.,confertiflorum,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Low,BLM
Ferocactus,cylindraceus,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Fourquieria,splendens,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Fraxinus,velutina,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Garaea,canescens,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Heliotropium,curassavicum,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Hilaria,rigida,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Hymenoclea,salsola,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Hyptis,emoryi,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Krameria,bicolor,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Larrea,tridentata,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Lasthenia,gracilis,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Layia,glandulosa,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Lycium,andersonii,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Olneya,tesota,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Parkinsonia,florida,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Peucephyllum,schottii,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Low,BLM
Phacelia,cicutaria,var. ,hispida,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Plantago,erecta,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,Medium,BLM
Plantago,ovata,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Prosopis,pubescens,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Prosopis,glandulosa,var.,torreyana,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Psathyrotes,ramosissima,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Psorothamnus,schottii,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Psorothamnus,spinosus,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
Salvia,columbrariae,,,Provisional,30 - 35 Deg. / 3-6,EL CENTRO,High,BLM
Senegalia,greggii,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,High,BLM
Sphaeralcea,ambigua,,,Provisional,40 - 45 Deg. F. / > 30,EL CENTRO,Medium,BLM
